AppID,Date,Rank,Player_Count
813780,2025-07-06,80,26198
594650,2025-07-13,80,25556
1326470,2025-07-20,80,24714
2878980,2025-06-15,79,42522
1158310,2025-06-22,79,22584
252950,2025-06-29,79,25981
594650,2025-07-06,79,26834
739630,2025-07-13,79,24102
2878980,2025-07-20,79,41323
1623730,2025-06-15,78,31257
39210,2025-06-22,78,21880
594650,2025-06-29,78,28590
322330,2025-07-06,78,58223
252950,2025-07-13,78,24771
39210,2025-07-20,78,20455
3513350,2025-06-15,77,26860
3164500,2025-06-22,77,22304
427520,2025-06-29,77,23937
629520,2025-07-06,77,23527
813780,2025-07-13,77,24614
261550,2025-07-20,77,36425
1551360,2025-06-15,76,27528
813780,2025-06-22,76,24811
629520,2025-06-29,76,24050
250900,2025-07-06,76,26130
1158310,2025-07-13,76,22521
322330,2025-07-20,76,54750
236850,2025-06-15,75,22298
529340,2025-06-22,75,26397
292030,2025-06-29,75,28005
292030,2025-07-06,75,27779
427520,2025-07-13,75,22398
594650,2025-07-20,75,24407
2694490,2025-06-15,74,21849
292030,2025-06-22,74,28431
322330,2025-06-29,74,60495
2878980,2025-07-06,74,45344
292030,2025-07-13,74,25933
1158310,2025-07-20,74,22758
250900,2025-06-15,73,24597
629520,2025-06-22,73,24657
284160,2025-06-29,73,25397
252950,2025-07-06,73,24792
629520,2025-07-13,73,22877
739630,2025-07-20,73,22247
39210,2025-06-15,72,22097
2873440,2025-06-22,72,42315
1604270,2025-06-29,72,30060
427520,2025-07-06,72,24300
250900,2025-07-13,72,26556
813780,2025-07-20,72,24815
1158310,2025-06-15,71,24029
322330,2025-06-22,71,65876
2878980,2025-06-29,71,46789
284160,2025-07-06,71,24909
3164500,2025-07-13,71,24987
250900,2025-07-20,71,25306
813780,2025-06-15,70,25429
892970,2025-06-22,70,26058
2139460,2025-06-29,70,34763
1237950,2025-07-06,70,25839
284160,2025-07-13,70,24414
513710,2025-07-20,70,29508
218620,2025-06-15,69,42096
1623730,2025-06-22,69,39242
892970,2025-06-29,69,26050
739630,2025-07-06,69,26864
2878980,2025-07-13,69,44180
629520,2025-07-20,69,23809
629520,2025-06-15,68,24057
252950,2025-06-22,68,26417
2584990,2025-06-29,68,71932
2246340,2025-07-06,68,54154
322330,2025-07-13,68,55985
252950,2025-07-20,68,24881
284160,2025-06-15,67,24350
427520,2025-06-22,67,27152
1085660,2025-06-29,67,27333
2357570,2025-07-06,67,29527
2357570,2025-07-13,67,28475
427520,2025-07-20,67,24805
252950,2025-06-15,66,26273
284160,2025-06-22,66,27249
218620,2025-06-29,66,34088
513710,2025-07-06,66,34501
582660,2025-07-13,66,25471
582660,2025-07-20,66,24932
292030,2025-07-20,65,24383
322330,2025-06-15,65,67114
550,2025-06-22,65,41076
2357570,2025-06-29,65,30422
489830,2025-07-06,65,28367
513710,2025-07-13,65,30789
2399830,2025-06-15,64,26164
2139460,2025-06-22,64,39542
582660,2025-07-06,64,23388
489830,2025-06-29,64,27781
892970,2025-07-13,64,25945
284160,2025-07-20,64,25693
2073850,2025-06-15,63,24850
1085660,2025-06-22,63,28689
3164500,2025-06-29,63,28631
261550,2025-07-06,63,40871
2452280,2025-07-13,63,45412
1903340,2025-07-20,63,26601
261550,2025-06-15,62,34300
1281930,2025-06-22,62,40544
261550,2025-06-29,62,40961
550,2025-07-06,62,42026
489830,2025-07-13,62,26314
489830,2025-07-20,62,26571
292030,2025-06-15,61,31090
261550,2025-06-22,61,40878
3061570,2025-06-29,61,34790
4000,2025-07-06,61,30754
1903340,2025-07-13,61,28622
892970,2025-07-20,61,26590
2357570,2025-06-15,60,29461
594650,2025-06-22,60,35203
739630,2025-06-29,60,32075
1281930,2025-07-06,60,43544
550,2025-07-13,60,40467
550,2025-07-20,60,38666
1671210,2025-06-15,59,29008
489830,2025-06-22,59,30250
3489700,2025-06-29,59,74759
3164500,2025-07-06,59,32250
218620,2025-07-13,59,30144
2357570,2025-07-20,59,28477
892970,2025-06-15,58,26481
2357570,2025-06-22,58,33182
550,2025-06-29,58,40978
1903340,2025-07-06,58,33225
261550,2025-07-13,58,39258
2138720,2025-07-20,58,28451
427520,2025-06-15,57,27247
105600,2025-06-22,57,37376
4000,2025-06-29,57,30310
526870,2025-07-06,57,32800
1326470,2025-07-13,57,38923
2584990,2025-07-20,57,65591
3164500,2025-06-15,56,27359
4000,2025-06-22,56,31027
1281930,2025-06-29,56,43041
108600,2025-07-06,56,33496
4000,2025-07-13,56,30010
346110,2025-07-20,56,36382
1085660,2025-06-15,55,28953
1142710,2025-06-22,55,32832
1237950,2025-06-29,55,30463
1085660,2025-07-06,55,34279
526870,2025-07-13,55,30472
4000,2025-07-20,55,31278
1142710,2025-06-15,54,29811
108600,2025-06-22,54,31873
1142710,2025-06-29,54,32330
1142710,2025-07-06,54,35725
108600,2025-07-13,54,31771
108600,2025-07-20,54,31921
2139460,2025-06-15,53,41199
2584990,2025-06-22,53,81260
108600,2025-06-29,53,31460
346110,2025-07-06,53,43075
2138720,2025-07-13,53,35749
2139460,2025-07-20,53,43147
550,2025-06-15,52,42093
2300320,2025-06-22,52,33216
1903340,2025-06-29,52,33725
2139460,2025-07-06,52,46134
1281930,2025-07-13,52,44814
1281930,2025-07-20,52,46433
1281930,2025-06-15,51,43862
1903340,2025-06-22,51,34613
513710,2025-06-29,51,39682
3224770,2025-07-06,51,36836
2139460,2025-07-13,51,44610
1203220,2025-07-20,51,145493
251570,2025-06-15,50,35692
1604270,2025-06-22,50,38753
526870,2025-06-29,50,32346
218620,2025-07-06,50,36299
346110,2025-07-13,50,42423
1142710,2025-07-20,50,35611
105600,2025-06-15,49,38806
1237950,2025-06-22,49,34311
2300320,2025-06-29,49,32396
3188910,2025-07-06,49,36190
1142710,2025-07-13,49,36474
105600,2025-07-20,49,43054
3188910,2025-06-15,48,31094
1091500,2025-06-22,48,39293
1326470,2025-06-29,48,49853
294100,2025-07-06,48,37610
105600,2025-07-13,48,44734
1144200,2025-07-20,48,34954
4000,2025-06-15,47,30734
3188910,2025-06-22,47,35390
105600,2025-06-29,47,45681
105600,2025-07-06,47,47469
2300320,2025-07-20,47,37150
2300320,2025-07-13,47,36307
489830,2025-06-15,46,31750
294100,2025-06-22,46,36644
294100,2025-06-29,46,36693
2300320,2025-07-06,46,37256
289070,2025-07-13,46,47931
2399830,2025-07-20,46,37714
108600,2025-06-15,45,33227
289070,2025-06-22,45,44156
346110,2025-06-29,45,45464
438100,2025-07-06,45,55352
2399830,2025-07-13,45,39260
289070,2025-07-20,45,49566
289070,2025-06-15,44,43508
3188910,2025-06-29,44,36178
1326470,2025-06-22,44,38562
289070,2025-07-06,44,49003
322170,2025-07-13,44,40403
322170,2025-07-20,44,39865
