AppID,CategoryID
1599340,68
1599340,75
1599340,74
1599340,79
1599340,18
3527290,2
3527290,1
3527290,9
3527290,38
3527290,22
3527290,28
3527290,23
3527290,62
2138720,1
2138720,9
2138720,38
2138720,22
2138720,28
2138720,35
2138720,62
513710,2
513710,1
513710,20
513710,49
513710,36
513710,9
513710,38
513710,22
513710,29
513710,67
513710,68
513710,78
513710,69
513710,70
513710,15
1237950,2
1237950,1
1237950,49
1237950,36
1237950,22
1237950,29
1604270,2
1604270,1
1604270,49
1604270,36
1604270,9
1604270,38
1604270,22
1604270,29
1604270,30
1604270,64
1604270,68
1604270,78
1604270,76
1604270,74
1604270,65
1604270,23
1604270,17
2584990,2
2584990,1
2584990,49
2584990,36
2584990,27
2584990,22
2584990,35
2584990,64
2584990,67
2584990,68
2584990,74
2584990,69
2584990,18
594650,1
594650,49
594650,36
594650,9
594650,38
594650,22
594650,28
594650,29
594650,35
594650,25
594650,42
594650,43
2873440,1
2873440,20
2873440,49
2873440,36
2873440,9
2873440,38
2873440,28
2873440,62
529340,2
529340,1
529340,49
529340,36
529340,27
529340,22
529340,30
529340,66
529340,68
529340,78
529340,75
529340,76
529340,74
529340,79
529340,69
529340,70
529340,23
529340,62
960090,2
960090,1
960090,9
960090,38
960090,22
960090,35
960090,41
960090,42
960090,62
3350200,2
3350200,22
3350200,23
3350200,62
1771300,2
1771300,22
1771300,28
1771300,29
1771300,68
1771300,74
1771300,69
1771300,70
1771300,23
1771300,62
1326470,2
1326470,1
1326470,9
1326470,38
1326470,22
1326470,28
1326470,23
1326470,62
3061570,2
3061570,1
3061570,27
3061570,35
3061570,18
1361210,1
1361210,9
1361210,38
1361210,27
1361210,22
1361210,13
1361210,35
1361210,18
1361210,62
2183900,2
2183900,1
2183900,49
2183900,36
2183900,9
2183900,38
2183900,22
2183900,28
2183900,29
2183900,64
2183900,67
2183900,66
2183900,68
2183900,78
2183900,69
2183900,65
2183900,70
2183900,23
2183900,62
3224770,2
3224770,1
3224770,49
3224770,36
3224770,22
3224770,28
3224770,35
1850570,2
1850570,22
1850570,28
1850570,29
1850570,64
1850570,67
1850570,68
1850570,78
1850570,74
1850570,79
1850570,69
1850570,65
1850570,70
1850570,23
1850570,61
1850570,62
2452280,1
2452280,49
2452280,36
2452280,9
2452280,38
2452280,22
2452280,28
2452280,35
2452280,15
2246340,2
2246340,1
2246340,9
2246340,38
2246340,27
2246340,22
2246340,28
2246340,29
2246340,23
2246340,61
2246340,62
2344520,2
2344520,1
2344520,49
2344520,36
2344520,9
2344520,38
2344520,27
2344520,22
2344520,28
2344520,35
1818450,1
1818450,20
1818450,49
1818450,36
1818450,9
1818450,38
1818450,35
242760,2
242760,1
242760,9
242760,38
242760,48
242760,52
242760,53
242760,18
242760,23
242760,62
1244460,2
1244460,22
1244460,28
1244460,23
1244460,15
1244460,61
1244460,62
2358720,2
2358720,22
2358720,28
2358720,29
